,Fuel Type Code,Station Name,State,ZIP,Latitude,Longitude
63728,ELEC,Government of Yukon,YT,Y1A 3G2,60.713826,-135.076122
63729,ELEC,Hydro One Inc,ON,K0C 1M0,44.9716518519453,-75.0777893965648
63730,ELEC,Hydro One Inc,ON,K0E 1R0,44.4895296344089,-75.8549952567909
63731,ELEC,Hydro One Inc,ON,K0E 1R0,44.5067653706785,-75.8123100941005
63732,ELEC,Hydro One Inc,ON,P1B 8G5,46.3511106424986,-79.5015402635725
63733,ELEC,Hydro One Inc,ON,K0H 2H0,44.2994827895544,-76.7458791187463
63734,ELEC,Hydro One Inc,ON,N7S 5T7,42.9775146714747,-82.3655482370653
63735,ELEC,Hydro One Inc,ON,K0K 1H0,44.1088133412828,-77.6594501683139
63736,ELEC,Tous les jours,QC,J9P 5K1,48.09611419157108,-77.82674748628214
63737,ELEC,Hydro-Québec,QC,J4Z 3G3,45.47316444396265,-73.44173748819505
63738,ELEC,The Regional Municipality of York,ON,L4K 0G5,43.82569,-79.53229
63739,ELEC,Hydro-Québec,QC,H1K 4E8,45.611276026395394,-73.54656815935611
63740,ELEC,Hydro-Québec,QC,H1S 2P3,45.57509247740085,-73.59294327284987
63741,ELEC,Hydro-Québec,QC,G0G 1B0,50.29119634234821,-62.80460108622675
63742,ELEC,The Regional Municipality of York,ON,M4C 4H1,43.69334,-79.31611
63743,ELEC,First Capital Asset Management LP,ON,L6A 4N9,43.84793,-79.45922
63744,ELEC,7-Eleven,BC,V8Z 3K8,48.4481,-123.3721
63745,ELEC,Liberty Market Tower Inc,ON,M6K 3P8,43.6384010314941,-79.415168762207
63746,ELEC,BC Hydro,BC,V8W 1P6,48.428164,-123.365799
63747,ELEC,Ontario Charging Network,ON,L4N 9B1,44.3519734079418,-79.6872151455298
63748,ELEC,Ontario Charging Network,ON,K0K 1H0,44.1096151456291,-77.6595707153411
63749,ELEC,Ontario Charging Network,ON,K0K 3M0,44.1112021920362,-77.6595690676615
63750,ELEC,Ontario Charging Network,ON,L7B 1A8,43.895184012584,-79.556884753739
63751,ELEC,Ontario Charging Network,ON,L3Z 0A2,43.96432,-78.27279
63752,ELEC,Ontario Charging Network,ON,K9A 3P3,43.9574871,-78.1646586
