,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Latitude,Longitude
26020,ELEC,1001 - 17th Street,1001 - 17th Street,Denver,CO,80202,39.7487525,-104.9937407
26021,ELEC,Independence Plaza,"1050 Curtis Street, Denver, CO 80202",Denver,CO,80202,39.7475235,-104.9898868
26022,ELEC,1401 Lawrence,1401 Lawrence Street,Denver,CO,80202,39.7471237,-104.9989392
26023,ELEC,Wells Fargo Center,1700 Sherman Street,Denver,CO,80203,39.743995978817,-104.98452256243
26024,ELEC,16 Penn,1615 Pennsylvania Street,Denver,CO,80203,39.742247,-104.9814185
26025,ELEC,530305 : 1290 Broadway,"1290 Broadway
Suite 540",Denver,CO,80203,39.7365765,-104.9868044
26026,ELEC,Regatta Sloans Lake,1550 Raleigh Street,Denver,CO,80204,39.7418252,-105.0413725
26028,ELEC,"SITUS Enterprises, LLC",435 West Hampden Avenue,Englewood,CO,80110,39.653301,-104.9930135
26029,ELEC,"Walgreens - Denver, CO #10116",3067 South Sheridan Boulevard,Denver,CO,80227,39.657547,-105.054179
26030,ELEC,Stanford Place II,"7979 E Tufts Ave., Garage Level A",Denver,CO,80237,39.6334112,-104.8980532
26031,ELEC,Jefferson Building,7220 W Jefferson Ave,Lakewood,CO,80235,39.649500555906,-105.07769230238
26032,ELEC,Landmark Village Center Parking Structure,7600 Landmark Way,Greenwood Village,CO,80111,39.6173323,-104.9001184
26033,ELEC,"Walgreens - Littleton, CO #1306",11605 W Belleview Ave,Littleton,CO,80127,39.6247644,-105.1294987
26034,ELEC,"Walgreens - Evergreen, CO #10306",3510 Evergreen Pkwy,Evergreen,CO,80439,39.651324,-105.3437979
26035,ELEC,9601 Parking Structure,9601 East Panorama Drive,Centennial,CO,80112,39.5779353,-104.8827781
26036,ELEC,Kaiser - Lone Tree,10240 Park Meadows Dr,Lone Tree,CO,80124,39.5450637,-104.873023
26037,ELEC,"Walgreens - Highlands Ranch, CO #5538",6650 Timberline Rd,Highlands Ranch,CO,80130,39.541897,-104.912248
26039,ELEC,Intermountain Healthcare,"Intermountain Healthcare, 36 South State Street",Salt Lake City,UT,84111,40.769001,-111.8884666
26043,ELEC,Antler at Vail,680 Lionshead PL,Vail,CO,81657,39.642488,-106.390608
26045,ELEC,Wasatch Renal Center,3702 State Street,South Salt Lake,UT,84115,40.6906381,-111.889234
26046,ELEC,Walking Mountains Science Center,318 Walking Mountains Lane,Avon,CO,81620,39.6414316,-106.5204009
26047,ELEC,"Walgreens - Taylorsville, UT #6961",4668 S Redwood Rd,Taylorsville,UT,84123,40.6686599,-111.9388606
26048,ELEC,Riverwalk,115 Wilcox Street,Castle Rock,CO,80104,39.3707962,-104.860623
26049,ELEC,"Walgreens - Midvale, UT #9239",7227 S State St,Midvale,UT,84047,40.6205,-111.8905486
26051,ELEC,"Walgreens - Sandy, UT #9237",9426 S 700 East,Sandy,UT,84070,40.5799279,-111.8724388
26052,ELEC,"Walgreens - West Jordan, UT #6988",3863 W 9000 S,West Jordan,UT,84084,40.5876453,-111.9833171
26053,ELEC,"Walgreens - Draper, UT #6281",1311 Draper Parkway,Draper,UT,84020,40.528369,-111.853705
26054,ELEC,"Walgreens - Riverton, UT #7007",12623 S Redwood Rd,Riverton,UT,84065,40.521744,-111.938073
26055,ELEC,"Walgreens - Draper, UT #12294",176 E 13800 S,Draper,UT,84020,40.500259,-111.885519
26060,ELEC,HCE - GWS,3799 Colorado 82,Glenwood Springs,CO,81601,39.502954419097,-107.30220632936
26061,ELEC,Overpark,1000 Oak Street,Eugene,OR,97401,44.0488021,-123.0912052
26062,ELEC,Broadway South,248 West Broadway,Eugene,OR,97401,44.0499177,-123.0963067
26063,ELEC,Amazon Corner,747 East 32nd Avenue,Eugene,OR,97405,44.022318447801,-123.08048543915
26066,ELEC,"Walgreens - Orem, UT #9192",763 N State St,Orem,UT,84057,40.3112412,-111.7012595
26070,ELEC,"Walgreens - Springville, UT #9974",420 S Main St,Springville,UT,84663,40.1607816,-111.6106739
26076,ELEC,Super 8 Roseburg,3200 NW Aviation Drive,Roseburg,OR,97470,43.2490005,-123.3583226
26078,ELEC,"Walgreens - Roseburg, OR #12068",1377 NE Stephens St,Roseburg,OR,97470,43.2264305,-123.348339
26079,ELEC,Kaiser Pueblo,2625 West Pueblo Boulevard,Pueblo,CO,81004,38.2186745,-104.6407541
26081,ELEC,Montrose Community Rec. Center,16350 Woodgate Road,Montrose,CO,81401,38.449131,-107.860518
26089,ELEC,Moab Spring Ranch,1266 North Highway 191,Moab,UT,84532,38.5928125,-109.5640387
26090,ELEC,Adventure Inn,512 North Main Street,Moab,UT,84532,38.5809824,-109.5511605
26093,ELEC,City Hall,217 East Center Street,Moab,UT,84532,38.5737262,-109.5469068
26094,ELEC,ACT Campground,Mill Creek Village,Moab,UT,84532,38.5610771,-109.5252832
26271,ELEC,"Resource Action Programs, Inc.",76 United Circle,Sparks,NV,89431,39.5179879,-119.7286212
26274,ELEC,Oxygenics,3700 Barron Way,Reno,NV,89511,39.469347,-119.763042
26280,ELEC,Bear River Hotel,11 Bear Paws Way,Loleta,CA,95551,40.627386,-124.207966
26285,ELEC,Staybridge Suites,1301 Sunland Dr,Saint George,UT,84790,37.0857816,-113.5794996
26287,ELEC,"Walgreens - Placerville, CA #11823",4220 Missouri Flat Rd,Placerville,CA,95667,38.706341,-120.83169
26288,ELEC,Kaiser Roseville,1600 Eureka Road,Roseville,CA,95661,38.7474074,-121.2506572
26290,ELEC,Kaiser Sacramento Morse,2025 Morse Avenue,Sacramento,CA,95825,38.6013834,-121.393137
26292,ELEC,Kaiser Vacaville,1 Quality Road,Vacaville,CA,95688,38.3885135,-121.9380985
26293,ELEC,State Compensation Insurance Fund - Vacaville,1010 Vaquero Circle,Vacaville,CA,95688,38.3821579,-121.949585
26294,ELEC,Napa Valley Lodge,"2230 Madison St, Yountville",Yountville,CA,94599,38.4058399,-122.3689378
26295,ELEC,Westside Professional,2470 Hilborn Road,Fairfield,CA,94534,38.275058,-122.050676
26296,ELEC,Harbor Center,One Harbor Center,Suisun City,CA,94585,38.241645287991,-122.04012927857
26297,ELEC,400 Main,400 East Main Street,Stockton,CA,95202,37.9528464,-121.2849885
26298,ELEC,Eastside Cannery Casino,5255 Boulder Hwy.,Las Vegas,NV,89122,36.1079011,-115.0563724
26299,ELEC,Green Valley Executive Center,5030 Business Center Drive,Fairfield,CA,94534,38.217905480608,-122.14318165093
26300,ELEC,Kaiser Permenente - Santa Rosa MOB 6,2240 Mercury Way,Santa Rosa,CA,95407,38.4208996,-122.7521321
26301,ELEC,Castile Apartment,1545 Wigwam Parkway,Henderson,NV,89074,36.0315532,-115.0504451
26302,ELEC,Kaiser Vallejo,975 Sereno Drive,Vallejo,CA,94589,38.12767,-122.2484432
26303,ELEC,Petaluma Village Premium Outlets,2000 Petaluma Blvd. North,Petaluma,CA,94952,38.253652,-122.647842
26304,ELEC,Touro University - Library,182 Moises Way,Vallejo,CA,94592,38.087783844497,-122.26237484159
26306,ELEC,State Compensation Insurance Fund - Pleasanton,5880 Owens Drive,Pleasanton,CA,94588,37.6990727,-121.9010148
26307,ELEC,Kaiser Oakland 3510 Broadway,3510 Broadway,Oakland,CA,94611,37.8226947,-122.2596203
26308,ELEC,Pleasanton Corporate Commons - 6210,6210 Stoneridge Mall Road,Pleasanton,CA,94588,37.6953563,-121.9243172
26309,ELEC,Pleasanton Corporate Commons - 6230,6230 Stoneridge Mall Road,Pleasanton,CA,94588,37.6942662,-121.9214348
26311,ELEC,Four Embarcadero Center,"Four Embarcadero Center, B Level Parking",San Francisco,CA,94111,37.7952,-122.3961
26312,ELEC,Kaiser San Leandro Garfield Innovation Center,590 Whitney Street,San Leandro,CA,94577,37.723139,-122.190006
26313,ELEC,Two Embarcadero Center,"Two Embarcadero Center, A Level Parking",San Francisco,CA,94111,37.7950272,-122.3985003
26314,ELEC,531404 : Two Embarcadero Center,"Two Embarcadero Center, A Level Parking",San Francisco,CA,94111,37.794454,-122.3985089
26315,ELEC,531403 : Four Embarcadero Center,Embarcadero Center,San Francisco,CA,94111,37.794454,-122.3985089
26316,ELEC,Foundry III,"505 Howard Street
Suite 175",San Francisco,CA,94105,37.7879608,-122.3961165
26317,ELEC,Kaiser San Leandro,2500 Merced Street,San Leandro,CA,94577,37.7063601,-122.1651409
26318,ELEC,101 Second Street Garage,"101 Second Street, #225",San Francisco,CA,94105,37.7878613,-122.3994485
26319,ELEC,ACE Parking - 625 2nd St Pkg Grg,625 2nd Street,San Francisco,CA,94107,37.7814995,-122.3912756
26320,ELEC,ACE Parking / 1776 Sacramento,1776 Sacramento Street,San Francisco,CA,94109,37.7915441,-122.4221102
26321,ELEC,Broadway Charger (btw Pierce & Steiner),2468 Broadway,San Francisco,CA,94115,37.79422,-122.437701
26322,ELEC,ACE PKG - 875 HOWARD GRG,875 Howard Street,San Francisco,CA,94103,37.7819286,-122.4041764
26323,ELEC,Dolby Laboratories,1275 Market Street,San Francisco,CA,94103,37.777522,-122.415426
26324,ELEC,"Buchanan Crossroads, SEC",1840 Herndon Avenue,Clovis,CA,93611,36.837303165956,-119.6796535
26325,ELEC,Kaiser Fremont,39400 Paseo Padre Parkway,Fremont,CA,94538,37.5524244,-121.974401
26326,ELEC,531409 : 631 Gateway,631 Gateway Boulevard,South San Francisco,CA,94080,37.6591478,-122.4009526
